Feature_ID,Feature_Name,Feature_Description
F583,Two Base Plate Options,"The enclosure comes with two base plate options: a plain base plate and a WisBlock bespoke base plate, providing choices for different applications and integration needs."
F584,Dimensions 180mm x 130mm x 60mm,"The enclosure has large internal dimensions of 180mm x 130mm x 60mm, providing ample space for larger electronic boards and complex IoT projects."
F585,One-click Secure Attachment,"The antenna clip utilizes a one-click mechanism for secure and easy attachment to various surfaces, ensuring a stable and reliable antenna connection without the need for complex installation procedures."
F586,Self-adhesive,"The clip features a strong self-adhesive backing, allowing for easy and secure attachment to a variety of non-porous surfaces without the need for additional tools or fasteners."
F587,Non-slip Grip,"The clip's design incorporates a non-slip grip to ensure that the antenna remains securely in place, even in environments with vibrations or movement."
F588,Unobtrusive Design,"The clip is designed to be small and unobtrusive, minimizing its visual impact on the overall setup and maintaining a clean aesthetic."
F589,Sold in Pairs,"The product is packaged as a pair of clips, providing sufficient attachment points for even longer antennas, ensuring stability and reliability."
F590,N-type Connector,"Uses an N-type female to N-type male connector, a standard connector type for RF applications, ensuring compatibility with various antenna systems and providing a robust and reliable connection."
F591,LMR195 Cable Type,"Employs LMR195 coaxial cable, known for its low loss and excellent performance characteristics in RF applications, ensuring minimal signal degradation over the cable's length."
F592,0~3 GHz Frequency Range,"Supports a wide frequency range from 0 to 3 GHz, accommodating various LoRaWAN frequencies and other RF applications within this range."
F593,VSWR ≤ 1.5,"Maintains a Voltage Standing Wave Ratio (VSWR) of less than or equal to 1.5, indicating efficient power transfer and minimal signal reflections, ensuring optimal performance."
F594,1.5m/3m/5m Cable Length Options,"Offers multiple cable length options (1.5m, 3m, and 5m) to cater to diverse deployment scenarios and antenna placement requirements."
F595,6 GHz Frequency Range,"The cable supports a frequency range up to 6 GHz, extending its applicability beyond the typical LoRaWAN frequencies and enabling use with other wireless technologies operating in this range."
F596,LMR400 Cable Type,"Utilizes LMR400 cable, known for its low loss and high performance characteristics, ensuring minimal signal degradation over long distances."
F597,RP-SMA Male to N-Type Female Connector,"Features an RP-SMA male to N-type female connector, providing compatibility with a wide range of devices and antennas using these common connector types."
F598,LMR200 Cable Type,"Utilizes LMR200 coaxial cable known for its low loss and good performance across a wide frequency range, ensuring efficient signal transmission."
F599,Magnetic Mounting Base,"Features a magnetic base for easy and secure attachment to metallic surfaces, enabling quick and flexible antenna placement."
F600,2-meter Cable Length,Provides a 2-meter cable length for convenient placement and connection of the antenna to the device.
F601,Max. Input Power ≥ 2W,"Supports a maximum input power of at least 2 Watts, suitable for high-power antenna applications."
F602,VSWR ≤ 2.0,"Maintains a Voltage Standing Wave Ratio (VSWR) of less than or equal to 2.0, indicating efficient power transfer and minimal signal reflection."
F603,Linear Polarization,Employs linear polarization for consistent signal transmission and reception.
F604,0~6 GHz Frequency Range,"Operates across a wide frequency range from 0 to 6 GHz, accommodating various antenna applications."
F605,Lightning Protection,"The antenna incorporates lightning protection circuitry to safeguard against damage from electrical surges, ensuring long-term reliability and operational stability in outdoor or exposed environments."
F606,Antistatic Feature (LNA),"An integrated Low Noise Amplifier (LNA) with antistatic protection minimizes signal interference and noise, enhancing the accuracy and reliability of GPS signal reception."
F607,28 ± 2 dB Gain,"The antenna boasts a high gain of 28 ± 2 dB, significantly improving signal reception strength and range, particularly in areas with weak GPS signals or signal obstructions."
F608,Right-Hand Side Circular Polarization (RHCP),"Utilizing RHCP ensures consistent signal reception regardless of the antenna's orientation, enhancing reliability and reducing signal loss due to polarization mismatch."
F609,50 Ω Output Impedance,"The 50 Ω output impedance ensures optimal signal transmission and minimizes signal reflections, leading to improved signal quality and accuracy."
F610,N-type Male Connector,"The antenna uses a standard N-type male connector, ensuring compatibility with a wide range of GPS receivers and other equipment."
F611,2 m ± 50 mm RG195 Coaxial Cable,"The antenna includes a 2-meter RG195 coaxial cable, providing sufficient length for flexible installation and connection to GPS receivers."
F612,Mounting Brackets,"The kit includes mounting brackets with M6 nuts, washers, and spring washers, facilitating secure and versatile installation on various surfaces."
F613,Mounting Pole,"A 150 mm, Ф25.6 mm mounting pole is provided for convenient and stable antenna placement."
F614,50 Ω Impedance,Maintains a 50 Ω impedance for optimal signal transmission and minimal signal loss in the GPS signal path.
F615,1500-1650 MHz Frequency Range,"Specifically designed to operate within the 1500-1650 MHz frequency range, common for GPS signals, ensuring compatibility and effective protection."
F616,≤ 0.3 dB Power Loss,"Minimizes power loss (≤ 0.3 dB) during signal transmission, ensuring minimal impact on the GPS signal strength."
F617,IP65 Ingress Protection,"Offers IP65 ingress protection, shielding the device from dust and low-pressure water jets, ensuring reliable operation in various outdoor conditions."
F618,High-Pass Filter,Employs a high-pass filter to effectively suppress low-frequency interference from lightning while allowing the high-frequency GPS signal to pass through with minimal attenuation.
F619,Transient Suppression Device (TSD),Includes a TSD to protect the DC feed circuit from transient voltage spikes caused by lightning or other electrical disturbances.
F620,Gas Discharge Tube (GDT),Utilizes a GDT for additional protection of the DC feed circuit against high-voltage surges.
F621,N-type male to N-type female connector,"The device utilizes an N-type male to N-type female connector, a common and robust connector type widely used in RF applications, ensuring reliable signal transmission and connection stability."
F622,0-2700 MHz Frequency Range,"The SPD protects against surges across an exceptionally wide frequency range of 0-2700 MHz, covering various wireless communication bands including LoRa, Wi-Fi, and LTE, ensuring comprehensive protection for a wide range of applications."
F623,Power Loss 0-2000 MHz ≤ 0.2 dB,"The SPD is designed to minimize signal loss, with a power loss of ≤ 0.2 dB across the 0-2000 MHz frequency range, ensuring minimal impact on signal quality and transmission performance."
F624,200W Maximum Transmission Power,"The SPD can handle high transmission power up to 200W, making it suitable for use with high-power wireless communication systems."
F625,860-930 MHz Frequency Range,"The antenna operates within the 860-930 MHz frequency band, making it suitable for various wireless communication protocols and applications operating within this range. This specific frequency range is important for ensuring compatibility with existing infrastructure and regulatory requirements in certain regions."
F626,3.1 dBi Maximum Gain,"The antenna boasts a maximum gain of 3.1 dBi, which signifies its ability to amplify the signal strength, leading to improved range and reliability of wireless communication. Higher gain translates to better performance in areas with signal interference or long distances between communicating devices."
F627,VSWR ≤ 2.5,"The Voltage Standing Wave Ratio (VSWR) is ≤ 2.5, indicating efficient power transfer and minimal signal reflection. A low VSWR ensures optimal performance and reduces signal loss, resulting in a more reliable connection."
F628,Fiberglass Radome Body,"The antenna's housing is constructed from fiberglass, providing protection against environmental factors such as rain, wind, and UV radiation. This robust material ensures durability and longevity in outdoor deployments."
F629,Vertically Polarized Dipole,"The antenna utilizes a vertically polarized dipole design, which optimizes signal transmission and reception in specific orientations. This design choice is crucial for maximizing performance in certain environments and applications."
F630,Omnidirectional Coverage,"The antenna provides omnidirectional coverage, meaning it can transmit and receive signals in all directions equally. This feature is beneficial for applications requiring wide-area coverage and eliminates the need for precise antenna orientation."
F631,858-878 MHz Frequency Range,"The antenna operates within the 858-878 MHz frequency range, making it suitable for specific LoRaWAN applications and other wireless technologies operating in this band. This specific frequency range is crucial for ensuring compatibility with certain regulatory requirements and maximizing signal propagation in specific geographical areas."
F632,8.0 dBi Maximum Gain,"The antenna boasts a maximum gain of 8.0 dBi, significantly enhancing signal strength and extending the effective range of wireless communication. Higher gain translates to improved signal reception and transmission, particularly beneficial in areas with obstacles or weak signal conditions."
F633,3550-3700 MHz Frequency Range,"The antenna operates within the 3550-3700 MHz frequency range, specifically designed for CBRS band applications. This frequency band is allocated for shared use, offering opportunities for various IoT deployments."
F634,10 dBi Gain,"The antenna provides a 10 dBi gain, significantly boosting signal strength and extending the range of wireless communication. This is crucial for reliable connectivity in areas with obstacles or long distances between devices."
F635,VSWR ≤ 1.31,"The Voltage Standing Wave Ratio (VSWR) is ≤ 1.31, indicating efficient power transfer and minimal signal reflection. This ensures optimal performance and reduces signal loss."
F636,≥ 75% Efficiency,"The antenna boasts an efficiency of ≥75%, meaning a significant portion of the input power is effectively radiated as radio waves. This maximizes the antenna's performance and reduces energy waste."
F637,Dipole Antenna Type,"The antenna utilizes a dipole design, a common and effective antenna type for omnidirectional coverage. This ensures consistent signal reception from all directions."
F638,Omnidirectional Radiation Pattern,"The antenna's omnidirectional radiation pattern ensures consistent signal coverage in all directions, eliminating directional limitations."
F639,Vertical Polarization,"The antenna uses vertical polarization, which is often preferred for certain propagation characteristics and compatibility with other devices."
F640,N-Type Female Connector,"The antenna uses a standard N-type female connector, ensuring compatibility with a wide range of devices and cables."
F641,IP67 Rated,The IP67 rating indicates that the antenna is dust-tight and protected against immersion in water up to a specified depth and duration. This ensures reliable operation in various weather conditions.
F642,860-868 MHz Frequency Range,"The antenna operates within the 860-868 MHz frequency band, specifically designed for LoRaWAN applications in regions utilizing this spectrum. This ensures compatibility with devices and networks operating in this frequency range."
F643,2.39 dBi Maximum Gain,"The antenna boasts a maximum gain of 2.39 dBi, enhancing signal strength and range. This improved gain contributes to more reliable communication, especially in challenging environments with obstacles or distance limitations."
F644,High Efficiency,"The antenna is designed for high efficiency, maximizing the transmission and reception of signals. This translates to improved power consumption and extended battery life for connected devices."
F645,Vertically Polarized Monopole,"The antenna utilizes a vertically polarized monopole design. This specific polarization characteristic is crucial for optimal signal propagation and reception in various environments, ensuring reliable communication."
F646,900~930 MHz Frequency Range,"The antenna operates within the 900-930 MHz frequency band, suitable for various licensed and unlicensed applications in this range. This specific frequency range is crucial for compatibility with certain IoT devices and communication protocols."
F647,1.2 dBi Peak Gain,"The antenna boasts a peak gain of 1.2 dBi, which represents the antenna's ability to focus and amplify the signal in a specific direction. Higher gain generally translates to improved signal strength and longer range."
F648,Internal Counterpoise,"The antenna incorporates an internal counterpoise, eliminating the need for an external ground plane. This simplifies installation and improves performance by providing a more consistent and reliable ground reference."
F649,Tilts and Rotates,"The antenna's articulating base allows for 90-degree tilt and 360-degree rotation, enabling flexible positioning to optimize signal reception and transmission based on environmental conditions and device placement."
F650,Internal O-ring Seal on Connector,"The RP-SMA connector features an internal O-ring seal, providing enhanced protection against environmental factors such as dust, moisture, and other contaminants, ensuring reliable operation in outdoor settings."
F651,Fiberglass Radome,"A radome made of fiberglass material protects the antenna's internal components from environmental factors such as rain, snow, dust, and UV radiation, ensuring long-term durability and reliable performance in outdoor settings."
F652,698 ~ 960 MHz / 1710 ~ 2690 MHz Frequency Range,"The antenna supports operation across two frequency bands: 698-960 MHz and 1710-2690 MHz, providing broad compatibility with various LTE networks and ensuring wider geographical coverage."
F653,Voltage Regulation,"Maintains a stable output voltage, ensuring consistent power delivery to connected devices, regardless of input voltage fluctuations."
F654,Intelligent Battery Management,"Optimizes battery charging and discharging cycles, extending battery lifespan and ensuring optimal performance."
F655,Intelligent Adapter Power Capability Recognition,"Automatically detects and adapts to the power capabilities of the connected PoE adapter, optimizing power usage and preventing overloads."
F656,Overcurrent Buck Regulation,"Adjusts the output voltage and power to prevent overcurrent situations, protecting both the UPS and connected devices."
F657,Adjustment of Small Current Charging Based on Voltage Drop Switching,"Fine-tunes the charging current based on voltage drop, minimizing switching losses and extending battery life."
F658,Low Battery Warning Signal,"Provides a warning signal when the battery level is low, allowing for timely intervention and preventing unexpected power outages."
F659,Comprehensive Battery Protection,"Includes protection against overcharging, over-discharging, overcurrent, and short circuits, ensuring battery safety and longevity."
F660,Multiple Protection Mechanisms,"Supports hardware, MCU control, and other multiple protection mechanisms to ensure the safety and reliability of the UPS and connected devices."
F661,50Ah Lithium Iron Phosphate Battery,"A 50Ah Lithium Iron Phosphate (LiFePO4) battery provides long-lasting power for the gateway, enabling continuous operation for extended periods, even without sunlight. LiFePO4 batteries are known for their long lifespan and safety compared to other battery chemistries."
F662,Integrated Solar Charger,"A built-in solar charger allows the battery to be directly connected to PV panels, enabling solar-powered operation and extending the system's autonomy. This eliminates the need for grid power in remote locations."
F663,Integrated Heating Function,"An integrated heating element allows the battery to operate and charge effectively in sub-zero temperatures (below 0°C), ensuring reliable performance in cold climates."
F664,Battery Status Monitoring (Local and Remote),"The battery's status, including charge level and other relevant parameters, can be monitored locally through the WisGateOS web UI and remotely via WisDM, providing real-time insights into the system's power status."
F665,Dual PV Inputs,Two PV inputs are provided: one mandatory for the primary solar panel and one optional for a secondary panel. This allows for increased power generation in areas with limited sunlight or high altitudes.
F666,Isolated 42~57 VDC Input,"The device features an isolated 42-57 VDC input, providing electrical isolation between the PoE input and the output, enhancing safety and preventing potential damage to connected devices."
F667,30W DC-DC Converter,"A 30W DC-DC converter efficiently converts the high-voltage PoE input to the lower-voltage outputs (5V or 12V), ensuring stable and reliable power delivery."
F668,5V/6A USB Type-C Output,"Provides a 5V/6A power output via a USB Type-C connector, suitable for powering various devices that use this common interface."
F669,12V/2.5A Barrel Jack Output,"Offers a 12V/2.5A power output via a standard barrel jack connector, compatible with devices using this type of power input."
F670,Over Current/Short Circuit Protection,Built-in protection mechanisms prevent damage to the device and connected equipment in case of over-current or short-circuit events.
F671,IEEE 802.3af/at PoE Standard Compliance,"The splitter adheres to the IEEE 802.3af/at PoE standard, ensuring compatibility with a wide range of PoE-enabled devices and infrastructure."
F672,10/100/1000 Mbps Data Speed Support,"Supports data transmission speeds of 10, 100, and 1000 Mbps over the Ethernet connection, ensuring high-speed data transfer."
F673,-30℃～+75℃ Operating Temperature Range,"The device is designed to operate reliably within a wide temperature range from -30℃ to +75℃, suitable for various environmental conditions."
F674,Lithium-ion Battery,Utilizes safe and environmentally friendly lithium-ion battery cells for reliable backup power. This technology offers a high energy density and long lifespan compared to other battery chemistries.
F675,Trickle/Constant-Current/Constant-Voltage Charging,"Employs a sophisticated charging algorithm that optimizes battery charging by using a combination of trickle, constant-current, and constant-voltage charging methods to maximize battery life and performance."
F676,High-Performance DC-DC Converter,"Incorporates a high-performance and efficient DC-DC converter for optimal power conversion and regulation, minimizing energy loss and ensuring stable output voltage."
F677,Over-Charge Protection,"Protects the battery from overcharging, preventing damage and extending its lifespan. This safety feature ensures the battery is not overstressed during charging."
F678,Over-Discharge Protection,"Prevents the battery from being discharged below its safe operating voltage, protecting it from damage and ensuring reliable operation."
F679,Over-Current Protection,"Safeguards the device and battery from excessive current draw, preventing damage and ensuring safe operation."
F680,Short-Circuit Protection,"Protects the device and battery from short circuits, preventing damage and ensuring safe operation."
F681,Constant-Current/Constant-Voltage Charging,The UPS employs a sophisticated charging algorithm that uses constant-current and constant-voltage charging stages to optimize battery charging efficiency and extend battery lifespan. This method prevents overcharging and ensures the battery is fully charged without damaging it.
F682,Over-Charging Protection,"The UPS incorporates circuitry to prevent overcharging of the battery, which can lead to reduced lifespan or even damage. This protection mechanism ensures the battery's safety and longevity."
F683,Over-Discharging Protection,"The UPS prevents the battery from being discharged below its safe minimum voltage, protecting it from damage and ensuring reliable operation."
F684,1.5-2 Hours Backup Power,"The UPS provides approximately 1.5 to 2 hours of backup power, sufficient to allow for a graceful shutdown or to maintain operation during brief power interruptions."
F685,12V DC Input and Output,"The UPS is designed to work with 12V DC powered devices, providing a seamless power transition during power outages.  Both input and output are 12V DC."
F686,5.5*2.1 mm Barrel Type DC Jack,"The UPS uses a standard 5.5*2.1 mm barrel type DC jack for power input and output, ensuring compatibility with a wide range of devices."
